HOSPITAL_ID,PAYOR1,APRDRG,SEVERITY,PATS,PWC,TD,TC,XC,XD
1,1,1,2,5,5,31,1606511,321302.2,6.2
1,1,1,3,18,18,223,7753425,430745.8333,12.39
1,1,1,4,20,20,679,16399361,819968.05,33.95
1,1,4,3,3,3,66,1360172,453390.6667,22
1,1,4,4,17,17,652,12751695,750099.7059,38.35
1,1,5,3,1,1,16,251594,251594,16
1,1,5,4,4,4,154,2521509,630377.25,38.5
1,1,6,2,3,3,19,1206314,402104.6667,6.33
1,1,6,3,1,1,7,394103,394103,7
1,1,7,2,6,6,152,2940915,490152.5,25.33
1,1,7,3,1,1,21,461278,461278,21
1,1,7,4,2,2,73,1390502,695251,36.5
1,1,8,1,1,1,15,184154,184154,15
1,1,8,2,7,7,111,932196,133170.8571,15.86
1,1,8,3,25,25,464,5350363,214014.52,18.56
1,1,8,4,6,6,160,2000828,333471.3333,26.67
1,1,24,2,1,1,12,85488,85488,12
1,1,26,1,1,1,1,38521,38521,1
1,1,26,2,3,3,7,283370,94456.6667,2.33
1,1,41,1,1,1,2,10218,10218,2
1,1,41,3,4,4,21,179468,44867,5.25
1,1,41,4,2,2,10,61842,30921,5
1,1,42,2,2,2,8,142572,71286,4
1,1,42,3,1,1,4,20427,20427,4
1,1,42,4,3,3,11,233535,77845,3.67
1,1,43,4,1,1,26,311935,311935,26
1,1,45,3,2,2,11,111104,55552,5.5
1,1,47,2,1,1,3,29152,29152,3
1,1,48,2,2,2,4,41211,20605.5,2
1,1,48,3,2,2,3,38355,19177.5,1.5
1,1,48,4,1,1,1,21821,21821,1
1,1,50,4,1,1,5,28894,28894,5
1,1,52,3,5,5,36,386559,77311.8,7.2
1,1,52,4,3,3,26,245323,81774.3333,8.67
1,1,53,2,1,1,2,26526,26526,2
1,1,53,3,2,2,11,147084,73542,5.5
1,1,53,4,1,1,9,199929,199929,9
1,1,54,2,2,2,4,32428,16214,2
1,1,55,3,2,2,23,198052,99026,11.5
1,1,58,2,2,2,13,122407,61203.5,6.5
1,1,58,4,1,1,5,49628,49628,5
1,1,59,3,1,1,6,38818,38818,6
1,1,73,1,1,1,1,102937,102937,1
1,1,82,2,1,1,3,11817,11817,3
1,1,82,3,2,2,11,59567,29783.5,5.5
1,1,89,2,5,5,21,722621,144524.2,4.2
1,1,89,3,22,22,200,5026204,228463.8182,9.09
1,1,89,4,1,1,6,70109,70109,6
1,1,91,1,6,6,18,469258,78209.6667,3
1,1,91,2,21,21,131,2698463,128498.2381,6.24
1,1,91,3,9,9,74,1541980,171331.1111,8.22
1,1,91,4,6,6,128,2025232,337538.6667,21.33
